order_id,order_date,ship_date,customer_id,product_id,rep_id,channel,payment_method,quantity,unit_price,discount_pct,total_amount,cost_amount,profit
ORD-10029,2023-01-03,2023-01-04,CUST-5151,PRD-1013,REP-109,Wholesale,Invoice,2,194.56,0.2,311.3,151.24,160.06
ORD-10030,2023-01-03,2023-01-10,CUST-5164,PRD-1003,REP-103,Online,Invoice,50,1785.44,0.15,75881.2,34349.5,41531.7
ORD-10031,2023-01-03,2023-01-06,CUST-5182,PRD-1056,REP-104,Online,Bank Transfer,10,1006.17,0,10061.7,4240.6,5821.1
ORD-10032,2023-01-03,2023-01-08,CUST-5070,PRD-1074,REP-109,Distributor,Cash,2,410.29,0.05,779.55,389.52,390.03
ORD-10033,2023-01-03,2023-01-14,CUST-5154,PRD-1055,REP-100,Retail Store,Invoice,5,1752.95,0,8764.75,3991.1,4773.65
ORD-10034,2023-01-03,2023-01-10,CUST-5115,PRD-1029,REP-106,Online,PayPal,2,335.17,0.05,636.82,336.36,300.46
ORD-10035,2023-01-03,2023-01-11,CUST-5109,PRD-1040,REP-105,Online,Credit Card,2,1127.12,0,2254.24,1025.9,1228.34
ORD-10036,2023-01-04,2023-01-07,CUST-5023,PRD-1055,REP-104,Online,Cash,5,1752.95,0,8764.75,3991.1,4773.65
ORD-10037,2023-01-04,2023-01-18,CUST-5143,PRD-1071,REP-109,Distributor,Credit Card,3,537.46,0.05,1531.76,1127.01,404.75
ORD-10038,2023-01-04,2023-01-07,CUST-5073,PRD-1039,REP-108,Distributor,Bank Transfer,1,537.11,0.05,510.25,240.97,269.28
ORD-10039,2023-01-04,2023-01-08,CUST-5027,PRD-1044,REP-108,Distributor,Cash,1,190.91,0,190.91,70.42,120.49
ORD-10040,2023-01-04,2023-01-16,CUST-5196,PRD-1071,REP-103,Wholesale,Credit Card,3,537.46,0.1,1451.14,1127.01,324.13
ORD-10041,2023-01-04,2023-01-07,CUST-5046,PRD-1034,REP-109,Retail Store,Cash,20,637.75,0,12755.0,5830.2,6924.8
ORD-10042,2023-01-04,2023-01-05,CUST-5168,PRD-1051,REP-101,Online,Cash,1,1366.6,0.1,1229.94,771.84,458.1
ORD-10043,2023-01-05,2023-01-17,CUST-5096,PRD-1053,REP-105,Wholesale,Cash,2,231.99,0,463.98,243.08,220.9
ORD-10044,2023-01-05,2023-01-06,CUST-5152,PRD-1010,REP-104,Online,PayPal,1,1613.58,0.15,1371.54,1015.35,356.19
ORD-10045,2023-01-05,2023-01-09,CUST-5113,PRD-1054,REP-106,Online,PayPal,3,912.91,0.05,2601.79,2003.46,598.33
ORD-10046,2023-01-05,2023-01-14,CUST-5110,PRD-1014,REP-109,Wholesale,Credit Card,3,1696.51,0.05,4835.05,3010.41,1824.64
ORD-10047,2023-01-05,2023-01-09,CUST-5056,PRD-1050,REP-101,Retail Store,PayPal,1,32.85,0,32.85,20.97,11.88
ORD-10048,2023-01-05,2023-01-08,CUST-5074,PRD-1041,REP-103,Retail Store,Invoice,1,1173.33,0.1,1056.0,832.04,223.96
ORD-10049,2023-01-05,2023-01-06,CUST-5136,PRD-1029,REP-109,Distributor,Credit Card,1,335.17,0.15,284.89,168.18,116.71
ORD-10050,2023-01-05,2023-01-17,CUST-5117,PRD-1009,REP-105,Distributor,PayPal,3,1620.77,0.05,4619.19,1714.44,2904.75
ORD-10051,2023-01-05,2023-01-15,CUST-5029,PRD-1051,REP-101,Distributor,PayPal,20,1366.6,0,27332.0,15436.8,11895.2
ORD-10052,2023-01-05,2023-01-14,CUST-5022,PRD-1055,REP-102,Online,Invoice,1,1752.95,0.05,1665.3,798.22,867.08
ORD-10053,2023-01-05,2023-01-14,CUST-5079,PRD-1043,REP-100,Online,Cash,2,1995.1,0,3990.2,2209.82,1780.38
ORD-10054,2023-01-06,2023-01-20,CUST-5049,PRD-1044,REP-107,Retail Store,Bank Transfer,5,190.91,0.15,811.37,352.1,459.27
ORD-10055,2023-01-06,2023-01-19,CUST-5026,PRD-1018,REP-109,Online,Bank Transfer,1,1660.52,0.1,1494.47,992.01,502.46
ORD-10056,2023-01-06,2023-01-14,CUST-5197,PRD-1063,REP-108,Wholesale,PayPal,5,48.76,0.15,207.23,175.95,31.28
ORD-10057,2023-01-06,2023-01-19,CUST-5038,PRD-1056,REP-104,Wholesale,Cash,2,1006.17,0.1,1811.11,848.12,962.99
ORD-10058,2023-01-06,2023-01-07,CUST-5014,PRD-1045,REP-104,Wholesale,PayPal,2,228.2,0.05,433.58,274.28,159.3
ORD-10059,2023-01-06,2023-01-19,CUST-5019,PRD-1011,REP-107,Online,Invoice,2,687.1,0.05,1305.49,566.44,739.05
ORD-10060,2023-01-06,2023-01-07,CUST-5146,PRD-1024,REP-108,Distributor,Credit Card,3,1275.01,0.05,3633.78,1896.96,1736.82
ORD-10061,2023-01-06,2023-01-14,CUST-5087,PRD-1010,REP-104,Retail Store,PayPal,1,1613.58,0.1,1452.22,1015.35,436.87
ORD-10062,2023-01-06,2023-01-16,CUST-5095,PRD-1036,REP-108,Online,PayPal,2,1753.97,0,3507.94,1669.32,1838.62
ORD-10063,2023-01-06,2023-01-11,CUST-5016,PRD-1042,REP-101,Retail Store,PayPal,3,804.81,0,2414.43,1056.87,1357.56
ORD-10064,2023-01-06,2023-01-17,CUST-5020,PRD-1074,REP-103,Distributor,Bank Transfer,10,410.29,0,4102.9,1947.6,2155.3
ORD-10065,2023-01-06,2023-01-12,CUST-5152,PRD-1010,REP-109,Retail Store,Cash,3,1613.58,0.1,4356.67,3046.05,1310.62
ORD-10066,2023-01-06,2023-01-10,CUST-5023,PRD-1054,REP-109,Wholesale,Invoice,1,912.91,0,912.91,667.82,245.09
ORD-10067,2023-01-06,2023-01-19,CUST-5049,PRD-1028,REP-102,Online,Cash,1,350.57,0,350.57,224.94,125.63
ORD-10068,2023-01-06,2023-01-16,CUST-5197,PRD-1069,REP-103,Retail Store,Cash,3,1534.01,0.2,3681.62,1847.07,1834.55
ORD-10069,2023-01-06,2023-01-16,CUST-5096,PRD-1019,REP-100,Retail Store,Invoice,1,1724.8,0.1,1552.32,1002.01,550.31
ORD-10070,2023-01-06,2023-01-14,CUST-5011,PRD-1052,REP-105,Wholesale,Invoice,3,540.98,0,1622.94,984.12,638.82
ORD-10071,2023-01-06,2023-01-14,CUST-5059,PRD-1068,REP-102,Retail Store,PayPal,2,147.73,0.15,251.14,193.3,57.84
ORD-10072,2023-01-06,2023-01-13,CUST-5173,PRD-1073,REP-107,Distributor,Bank Transfer,2,1083.2,0,2166.4,1390.76,775.64
ORD-10073,2023-01-06,2023-01-12,CUST-5051,PRD-1017,REP-108,Online,Cash,1,763.28,0.05,725.12,435.69,289.43
ORD-10074,2023-01-06,2023-01-15,CUST-5031,PRD-1036,REP-100,Retail Store,Invoice,5,1753.97,0,8769.85,4173.3,4596.55
ORD-10075,2023-01-07,2023-01-14,CUST-5056,PRD-1057,REP-106,Wholesale,Bank Transfer,20,1826.13,0.05,34696.47,25500.4,9196.07
ORD-10076,2023-01-07,2023-01-09,CUST-5098,PRD-1010,REP-109,Wholesale,Bank Transfer,1,1613.58,0,1613.58,1015.35,598.23
ORD-10077,2023-01-07,2023-01-21,CUST-5035,PRD-1004,REP-107,Retail Store,Invoice,10,849.62,0.05,8071.39,3074.9,4996.49
ORD-10078,2023-01-07,2023-01-10,CUST-5114,PRD-1000,REP-102,Distributor,Credit Card,1,1282.46,0,1282.46,461.69,820.77
ORD-10079,2023-01-08,2023-01-21,CUST-5060,PRD-1038,REP-104,Distributor,Credit Card,1,1829.95,0.05,1738.45,976.35,762.1
ORD-10080,2023-01-08,2023-01-20,CUST-5028,PRD-1063,REP-102,Retail Store,PayPal,3,48.76,0.05,138.97,105.57,33.4
ORD-10081,2023-01-08,2023-01-19,CUST-5109,PRD-1000,REP-105,Online,Cash,1,1282.46,0.05,1218.34,461.69,756.65
ORD-10082,2023-01-08,2023-01-19,CUST-5092,PRD-1008,REP-101,Distributor,PayPal,2,448.68,0.05,852.49,525.58,326.91
ORD-10083,2023-01-08,2023-01-20,CUST-5064,PRD-1002,REP-105,Online,Cash,5,1475.58,0,7377.9,4579.3,2798.6
ORD-10084,2023-01-08,2023-01-22,CUST-5188,PRD-1042,REP-104,Retail Store,Invoice,1,804.81,0.05,764.57,352.29,412.28
ORD-10085,2023-01-08,2023-01-21,CUST-5178,PRD-1061,REP-103,Distributor,Credit Card,5,1559.47,0,7797.35,4383.2,3414.15
ORD-10086,2023-01-08,2023-01-14,CUST-5075,PRD-1025,REP-102,Wholesale,Cash,5,746.66,0.2,2986.64,1619.5,1367.14
ORD-10087,2023-01-09,2023-01-14,CUST-5139,PRD-1060,REP-106,Wholesale,Credit Card,1,1527.4,0.1,1374.66,864.13,510.53
ORD-10088,2023-01-09,2023-01-16,CUST-5167,PRD-1042,REP-107,Distributor,Invoice,1,804.81,0,804.81,352.29,452.52
ORD-10089,2023-01-09,2023-01-22,CUST-5086,PRD-1023,REP-109,Wholesale,Credit Card,3,210.99,0,632.97,291.93,341.04
ORD-10090,2023-01-09,2023-01-12,CUST-5186,PRD-1054,REP-103,Wholesale,PayPal,2,912.91,0.25,1369.37,1335.64,33.73
ORD-10091,2023-01-09,2023-01-19,CUST-5026,PRD-1010,REP-109,Distributor,Bank Transfer,3,1613.58,0,4840.74,3046.05,1794.69
ORD-10092,2023-01-09,2023-01-15,CUST-5176,PRD-1056,REP-107,Distributor,PayPal,2,1006.17,0.1,1811.11,848.12,962.99
ORD-10093,2023-01-09,2023-01-18,CUST-5163,PRD-1007,REP-102,Retail Store,Credit Card,3,1303.27,0.05,3714.32,2220.69,1493.63
ORD-10094,2023-01-09,2023-01-20,CUST-5036,PRD-1056,REP-100,Wholesale,PayPal,1,1006.17,0,1006.17,424.06,582.11
ORD-10095,2023-01-09,2023-01-15,CUST-5098,PRD-1072,REP-104,Wholesale,Invoice,3,852.04,0.1,2300.51,1111.2,1189.31
ORD-10096,2023-01-09,2023-01-20,CUST-5195,PRD-1009,REP-103,Wholesale,Bank Transfer,2,1620.77,0,3241.54,1142.96,2098.58
ORD-10097,2023-01-09,2023-01-18,CUST-5029,PRD-1003,REP-101,Online,PayPal,2,1785.44,0,3570.88,1373.98,2196.9
ORD-10098,2023-01-09,2023-01-21,CUST-5198,PRD-1033,REP-107,Distributor,Bank Transfer,1,465.81,0.1,419.23,169.01,250.22
ORD-10099,2023-01-09,2023-01-17,CUST-5031,PRD-1017,REP-100,Online,PayPal,2,763.28,0.2,1221.25,871.38,349.87
ORD-10100,2023-01-09,2023-01-14,CUST-5170,PRD-1044,REP-103,Retail Store,Bank Transfer,2,190.91,0,381.82,140.84,240.98
ORD-10101,2023-01-09,2023-01-12,CUST-5092,PRD-1065,REP-101,Retail Store,Invoice,1,621.95,0,621.95,232.09,389.86
ORD-10102,2023-01-09,2023-01-12,CUST-5006,PRD-1046,REP-106,Online,Credit Card,2,1586.24,0.25,2379.36,1646.08,733.28
ORD-10103,2023-01-09,2023-01-23,CUST-5079,PRD-1050,REP-105,Online,Bank Transfer,2,32.85,0.15,55.84,41.94,13.9
ORD-10104,2023-01-10,2023-01-13,CUST-5164,PRD-1009,REP-108,Retail Store,Bank Transfer,2,1620.77,0.05,3079.46,1142.96,1936.5
ORD-10105,2023-01-10,2023-01-15,CUST-5110,PRD-1064,REP-104,Retail Store,Bank Transfer,10,1758.66,0.05,16707.27,12005.8,4701.47
ORD-10106,2023-01-10,2023-01-15,CUST-5082,PRD-1028,REP-108,Online,PayPal,20,350.57,0.05,6660.83,4498.8,2162.03
ORD-10107,2023-01-10,2023-01-19,CUST-5050,PRD-1070,REP-106,Online,Cash,1,955.81,0,955.81,544.74,411.07
ORD-10108,2023-01-10,2023-01-20,CUST-5164,PRD-1021,REP-103,Wholesale,Cash,1,463.52,0.1,417.17,215.89,201.28
ORD-10109,2023-01-10,2023-01-20,CUST-5010,PRD-1003,REP-100,Wholesale,Bank Transfer,1,1785.44,0.1,1606.9,686.99,919.91
ORD-10110,2023-01-10,2023-01-21,CUST-5196,PRD-1073,REP-108,Wholesale,PayPal,3,1083.2,0,3249.6,2086.14,1163.46
ORD-10111,2023-01-10,2023-01-11,CUST-5123,PRD-1031,REP-108,Retail Store,Invoice,1,1118.33,0,1118.33,697.67,420.66
ORD-10112,2023-01-10,2023-01-16,CUST-5106,PRD-1061,REP-107,Wholesale,PayPal,1,1559.47,0.1,1403.52,876.64,526.88
ORD-10113,2023-01-10,2023-01-14,CUST-5102,PRD-1016,REP-109,Distributor,Credit Card,2,1077.09,0,2154.18,1592.46,561.72
ORD-10114,2023-01-10,2023-01-17,CUST-5068,PRD-1057,REP-103,Distributor,Bank Transfer,1,1826.13,0,1826.13,1275.02,551.11
ORD-10115,2023-01-10,2023-01-19,CUST-5040,PRD-1041,REP-109,Distributor,Invoice,1,1173.33,0,1173.33,832.04,341.29
ORD-10116,2023-01-10,2023-01-18,CUST-5078,PRD-1063,REP-100,Retail Store,Bank Transfer,1,48.76,0,48.76,35.19,13.57
ORD-10117,2023-01-10,2023-01-24,CUST-5149,PRD-1045,REP-101,Distributor,PayPal,1,228.2,0.05,216.79,137.14,79.65
ORD-10118,2023-01-10,2023-01-22,CUST-5137,PRD-1001,REP-102,Wholesale,Invoice,2,557.31,0.2,891.7,489.64,402.06
ORD-10119,2023-01-11,2023-01-20,CUST-5011,PRD-1051,REP-100,Wholesale,Credit Card,3,1366.6,0,4099.8,2315.52,1784.28
ORD-10120,2023-01-11,2023-01-21,CUST-5098,PRD-1064,REP-109,Online,Bank Transfer,5,1758.66,0,8793.3,6002.9,2790.4
ORD-10121,2023-01-11,2023-01-17,CUST-5024,PRD-1050,REP-105,Retail Store,Bank Transfer,5,32.85,0,164.25,104.85,59.4
ORD-10122,2023-01-11,2023-01-14,CUST-5154,PRD-1065,REP-105,Wholesale,Invoice,2,621.95,0,1243.9,464.18,779.72
ORD-10123,2023-01-11,2023-01-17,CUST-5132,PRD-1058,REP-103,Wholesale,Bank Transfer,3,603.91,0.05,1721.14,1097.16,623.98
ORD-10124,2023-01-11,2023-01-19,CUST-5100,PRD-1038,REP-108,Wholesale,Invoice,2,1829.95,0.05,3476.9,1952.7,1524.2
ORD-10125,2023-01-11,2023-01-21,CUST-5004,PRD-1047,REP-106,Wholesale,Credit Card,3,136.42,0.25,306.94,205.71,101.23
ORD-10126,2023-01-11,2023-01-24,CUST-5152,PRD-1060,REP-109,Retail Store,Credit Card,20,1527.4,0.15,25965.8,17282.6,8683.2
ORD-10127,2023-01-11,2023-01-24,CUST-5149,PRD-1061,REP-101,Distributor,Bank Transfer,2,1559.47,0.1,2807.05,1753.28,1053.77
ORD-10128,2023-01-11,2023-01-15,CUST-5174,PRD-1031,REP-103,Online,Invoice,3,1118.33,0.1,3019.49,2093.01,926.48
ORD-10129,2023-01-11,2023-01-20,CUST-5080,PRD-1053,REP-101,Distributor,Credit Card,2,231.99,0,463.98,243.08,220.9
ORD-10130,2023-01-11,2023-01-19,CUST-5180,PRD-1017,REP-101,Distributor,PayPal,3,763.28,0.25,1717.38,1307.07,410.31
ORD-10131,2023-01-11,2023-01-25,CUST-5044,PRD-1058,REP-105,Wholesale,Cash,2,603.91,0.1,1087.04,731.44,355.6
ORD-10132,2023-01-11,2023-01-16,CUST-5123,PRD-1024,REP-103,Wholesale,Bank Transfer,1,1275.01,0,1275.01,632.32,642.69
ORD-10133,2023-01-11,2023-01-24,CUST-5176,PRD-1062,REP-107,Wholesale,PayPal,2,11.14,0.05,21.17,10.68,10.49
ORD-10134,2023-01-11,2023-01-17,CUST-5031,PRD-1073,REP-105,Retail Store,PayPal,10,1083.2,0,10832.0,6953.8,3878.2
ORD-10135,2023-01-12,2023-01-24,CUST-5073,PRD-1010,REP-108,Distributor,Bank Transfer,20,1613.58,0.1,29044.44,20307.0,8737.44
ORD-10136,2023-01-12,2023-01-15,CUST-5051,PRD-1068,REP-108,Online,Cash,20,147.73,0.1,2659.14,1933.0,726.14
ORD-10137,2023-01-12,2023-01-16,CUST-5189,PRD-1030,REP-102,Retail Store,Credit Card,1,1979.15,0.2,1583.32,1199.36,383.96
ORD-10138,2023-01-12,2023-01-25,CUST-5025,PRD-1052,REP-106,Retail Store,Credit Card,5,540.98,0,2704.9,1640.2,1064.7
ORD-10139,2023-01-12,2023-01-20,CUST-5140,PRD-1020,REP-107,Distributor,Bank Transfer,3,1412.1,0.2,3389.04,1560.36,1828.68
ORD-10140,2023-01-12,2023-01-25,CUST-5193,PRD-1036,REP-109,Online,Cash,1,1753.97,0,1753.97,834.66,919.31
ORD-10141,2023-01-13,2023-01-14,CUST-5136,PRD-1004,REP-104,Distributor,Invoice,2,849.62,0.15,1444.35,614.98,829.37
ORD-10142,2023-01-13,2023-01-15,CUST-5047,PRD-1037,REP-102,Wholesale,PayPal,1,1314.32,0.05,1248.6,668.01,580.59
ORD-10143,2023-01-13,2023-01-22,CUST-5116,PRD-1069,REP-105,Distributor,PayPal,10,1534.01,0,15340.1,6156.9,9183.2
ORD-10144,2023-01-13,2023-01-18,CUST-5049,PRD-1014,REP-107,Retail Store,Credit Card,1,1696.51,0.05,1611.68,1003.47,608.21
ORD-10145,2023-01-13,2023-01-16,CUST-5188,PRD-1043,REP-109,Distributor,Invoice,3,1995.1,0.15,5087.5,3314.73,1772.77
ORD-10146,2023-01-13,2023-01-16,CUST-5131,PRD-1041,REP-101,Distributor,PayPal,2,1173.33,0,2346.66,1664.08,682.58
ORD-10147,2023-01-13,2023-01-18,CUST-5063,PRD-1000,REP-109,Wholesale,PayPal,2,1282.46,0.05,2436.67,923.38,1513.29
ORD-10148,2023-01-13,2023-01-17,CUST-5149,PRD-1073,REP-101,Online,Credit Card,1,1083.2,0,1083.2,695.38,387.82
ORD-10149,2023-01-13,2023-01-25,CUST-5119,PRD-1039,REP-104,Wholesale,Credit Card,2,537.11,0.05,1020.51,481.94,538.57
ORD-10150,2023-01-13,2023-01-16,CUST-5163,PRD-1037,REP-107,Distributor,Bank Transfer,3,1314.32,0,3942.96,2004.03,1938.93
ORD-10151,2023-01-13,2023-01-26,CUST-5116,PRD-1047,REP-105,Retail Store,Bank Transfer,5,136.42,0.2,545.68,342.85,202.83
ORD-10152,2023-01-13,2023-01-23,CUST-5174,PRD-1010,REP-108,Online,Credit Card,2,1613.58,0,3227.16,2030.7,1196.46
ORD-10153,2023-01-14,2023-01-22,CUST-5129,PRD-1025,REP-102,Online,Bank Transfer,1,746.66,0.15,634.66,323.9,310.76
ORD-10154,2023-01-14,2023-01-27,CUST-5183,PRD-1074,REP-109,Online,Invoice,1,410.29,0.05,389.78,194.76,195.02
ORD-10155,2023-01-14,2023-01-22,CUST-5033,PRD-1065,REP-106,Wholesale,Credit Card,2,621.95,0,1243.9,464.18,779.72
ORD-10156,2023-01-14,2023-01-15,CUST-5101,PRD-1032,REP-101,Distributor,PayPal,5,1687.28,0.05,8014.58,5571.4,2443.18
ORD-10157,2023-01-14,2023-01-22,CUST-5179,PRD-1008,REP-104,Online,PayPal,20,448.68,0,8973.6,5255.8,3717.8
ORD-10158,2023-01-14,2023-01-25,CUST-5104,PRD-1023,REP-101,Distributor,PayPal,5,210.99,0.25,791.21,486.55,304.66
ORD-10159,2023-01-14,2023-01-25,CUST-5097,PRD-1057,REP-107,Retail Store,PayPal,2,1826.13,0.1,3287.03,2550.04,736.99
ORD-10160,2023-01-14,2023-01-18,CUST-5030,PRD-1022,REP-108,Online,Credit Card,2,168.79,0.1,303.82,149.58,154.24
ORD-10161,2023-01-14,2023-01-18,CUST-5076,PRD-1059,REP-107,Distributor,PayPal,2,1221.85,0.15,2077.14,1004.7,1072.44
ORD-10162,2023-01-14,2023-01-16,CUST-5039,PRD-1035,REP-101,Online,Invoice,20,429.86,0.1,7737.48,6251.6,1485.88
ORD-10163,2023-01-14,2023-01-15,CUST-5157,PRD-1002,REP-100,Distributor,Cash,1,1475.58,0,1475.58,915.86,559.72
ORD-10164,2023-01-14,2023-01-18,CUST-5172,PRD-1006,REP-100,Retail Store,Credit Card,5,62.81,0.05,298.35,134.9,163.45
ORD-10165,2023-01-14,2023-01-24,CUST-5035,PRD-1064,REP-107,Wholesale,Cash,1,1758.66,0.2,1406.93,1200.58,206.35
ORD-10166,2023-01-15,2023-01-26,CUST-5197,PRD-1041,REP-103,Retail Store,Invoice,2,1173.33,0,2346.66,1664.08,682.58
ORD-10167,2023-01-15,2023-01-27,CUST-5076,PRD-1035,REP-102,Retail Store,Invoice,3,429.86,0.05,1225.1,937.74,287.36
ORD-10168,2023-01-15,2023-01-26,CUST-5142,PRD-1063,REP-101,Distributor,Cash,50,48.76,0.2,1950.4,1759.5,190.9
ORD-10169,2023-01-15,2023-01-28,CUST-5081,PRD-1053,REP-106,Distributor,Bank Transfer,1,231.99,0,231.99,121.54,110.45
ORD-10170,2023-01-15,2023-01-24,CUST-5057,PRD-1038,REP-102,Distributor,Invoice,5,1829.95,0.2,7319.8,4881.75,2438.05
ORD-10171,2023-01-15,2023-01-21,CUST-5142,PRD-1067,REP-101,Online,Invoice,2,180.45,0,360.9,196.48,164.42
ORD-10172,2023-01-15,2023-01-25,CUST-5094,PRD-1011,REP-104,Online,Credit Card,1,687.1,0,687.1,283.22,403.88
ORD-10173,2023-01-15,2023-01-21,CUST-5048,PRD-1071,REP-102,Wholesale,Credit Card,2,537.46,0.15,913.68,751.34,162.34
ORD-10174,2023-01-15,2023-01-19,CUST-5054,PRD-1024,REP-103,Retail Store,Invoice,5,1275.01,0.15,5418.79,3161.6,2257.19
ORD-10175,2023-01-15,2023-01-24,CUST-5061,PRD-1070,REP-108,Wholesale,PayPal,5,955.81,0,4779.05,2723.7,2055.35
ORD-10176,2023-01-15,2023-01-27,CUST-5066,PRD-1046,REP-109,Distributor,PayPal,2,1586.24,0.15,2696.61,1646.08,1050.53
ORD-10177,2023-01-15,2023-01-19,CUST-5052,PRD-1047,REP-108,Retail Store,Credit Card,2,136.42,0.05,259.2,137.14,122.06
ORD-10178,2023-01-15,2023-01-19,CUST-5066,PRD-1070,REP-109,Distributor,Cash,1,955.81,0,955.81,544.74,411.07
ORD-10179,2023-01-15,2023-01-27,CUST-5062,PRD-1063,REP-108,Distributor,Invoice,1,48.76,0.15,41.45,35.19,6.26
ORD-10180,2023-01-16,2023-01-19,CUST-5187,PRD-1045,REP-104,Online,Cash,1,228.2,0.05,216.79,137.14,79.65
ORD-10181,2023-01-16,2023-01-30,CUST-5008,PRD-1009,REP-103,Retail Store,Credit Card,5,1620.77,0.05,7698.66,2857.4,4841.26
ORD-10182,2023-01-16,2023-01-17,CUST-5181,PRD-1019,REP-103,Distributor,Invoice,1,1724.8,0.05,1638.56,1002.01,636.55
ORD-10183,2023-01-16,2023-01-21,CUST-5004,PRD-1000,REP-106,Wholesale,Credit Card,1,1282.46,0.05,1218.34,461.69,756.65
ORD-10184,2023-01-16,2023-01-19,CUST-5128,PRD-1055,REP-103,Retail Store,Bank Transfer,1,1752.95,0,1752.95,798.22,954.73
ORD-10185,2023-01-16,2023-01-23,CUST-5158,PRD-1067,REP-108,Online,PayPal,5,180.45,0,902.25,491.2,411.05
ORD-10186,2023-01-16,2023-01-27,CUST-5103,PRD-1058,REP-104,Online,Credit Card,50,603.91,0,30195.5,18286.0,11909.5
ORD-10187,2023-01-16,2023-01-27,CUST-5023,PRD-1051,REP-109,Online,Bank Transfer,2,1366.6,0.05,2596.54,1543.68,1052.86
